topic_id,topic words,pmi
5,space launch nasa earth shuttle solar energy satellite mission data,407.921
13,armenian turkish armenians jews israel israeli war jewish people arab,379.856
7,medical health number study drug patients cancer disease new cause,374.554
4,game team hockey win lost new games nhl play april,334.163
16,key encryption chip government clipper security keys phone data used,325.864
17,drive disk card hard scsi mac video know bus drives,316.665
1,image available version file software data graphics color program images,315.932
14,god jesus bible church christian christians believe man faith people,310.064
19,gun government right people law police state rights fbi laws,305.623
15,power line file entry output current need used water number,303.910
12,information send list mail available email computer anonymous ftp address,303.409
18,president new american national united said states general public going,301.018
2,windows window using file program dos set run server running,293.842
6,book read article books know called reference time used written,268.467
9,said went people told know came saw started took like,262.206
8,car like bike new good engine used cars know really,252.903
11,like good price looking sell buy know new want interested,235.819
3,think good year better game hit like time got team,233.826
0,people think believe say point like evidence make way question,208.086
10,like think know people want going good really make say,184.353
